              f1    f2    f3    total
than          1     0     0     1
that          5     15    15    35
thats         0     3     3     6
the           40    34    34    108
their         0     1     1     2
them          0     1     1     2
themselves    1     0     0     1
then          3     0     0     3
there         4     8     8     20
these         1     1     1     3
they          11    4     4     19
thing         1     2     2     5
things        0     2     2     4
think         1     1     1     3
thinking      1     0     0     1
third         1     0     0     1
this          4     5     5     14
those         0     1     1     2
thought       0     4     4     8
thoughts      1     0     0     1
thousands     1     1     1     3
three         1     1     1     3
threw         0     1     1     2
through       2     1     1     4
thus          0     1     1     2
time          2     2     2     6
tingly        0     1     1     2
to            25    21    21    67
today         0     2     2     4
together      1     0     0     1
tom           0     1     1     2
toms          0     1     1     2
too           1     1     1     3
topic         1     0     0     1
touched       1     0     0     1
tried         1     1     1     3
trip          1     0     0     1
trouble       1     0     0     1
true          1     0     0     1
truth         1     0     0     1
try           0     1     1     2
trying        0     1     1     2
twentyfive    2     0     0     2
type          1     0     0     1
ultimately    0     1     1     2
unassuming    1     0     0     1
under         0     1     1     2
underlying    1     0     0     1
understood    0     1     1     2
until         1     1     1     3
up            1     7     7     15
vegas         2     0     0     2
very          1     0     0     1
vw            0     1     1     2
want          0     1     1     2
wanted        1     0     0     1
wants         0     1     1     2
was           15    22    22    59
wasnt         0     3     3     6
way           0     1     1     2
ways          1     0     0     1
well          0     2     2     4
were          7     5     5     17
what          3     3     3     9
when          1     4     4     9
where         3     1     1     5
whether       0     1     1     2
which         0     1     1     2
while         3     0     0     3
who           0     2     2     4
wideeyed      1     0     0     1
windshield    0     1     1     2
with          1     6     6     13
without       1     0     0     1
wondered      0     1     1     2
work          1     0     0     1
would         6     4     4     14
written       0     1     1     2
year          1     0     0     1
years         1     1     1     3
yes           1     1     1     3
yet           1     0     0     1
you           2     7     7     16
younger       0     1     1     2
your          1     2     2     5
